index,mid,display_name
347,/m/07q2z82,vehicles.acceleratingRevvingVroom
348,/m/02dgv,domestic.door
349,/m/03wwcy,alert.doorbell
350,/m/07r67yg,alert.dingDong
351,/m/02y_763,doors.slidingDoor
352,/m/07rjzl8,domestic.slam
353,/m/07r4wb8,people.knock
354,/m/07qcpgn,people.tap
355,/m/07q6cd_,doors.squeak
356,/m/0642b4,domestic.cupboardOpenOrClose
357,/m/0fqfqc,domestic.drawerOpenOrClose
358,/m/04brg2,cooking.dishesPotsAndPans
359,/m/023pjk,cooking.cutlerySilverware
360,/m/07pn_8q,cooking.choppingFood
361,/m/0dxrf,cooking.fryingFood
362,/m/0fx9l,cooking.microwaveOven
363,/m/02pjr4,cooking.blender
364,/m/02jz0l,weather.waterTapFaucet
365,/m/0130jx,domestic.sinkFillingOrWashing
366,/m/03dnzn,domestic.bathtubFillingOrWashing
367,/m/03wvsk,domestic.hairDryer
368,/m/01jt3m,domestic.toiletFlush
369,/m/012xff,domestic.toothbrush
370,/m/04fgwm,domestic.electricToothbrush
371,/m/0d31p,domestic.vacuumCleaner
372,/m/01s0vc,people.zipperClothing
373,/m/03v3yw,people.keysJangling
374,/m/0242l,people.coinDropping
375,/m/01lsmm,domestic.scissors
376,/m/02g901,domestic.electricShaverElectricRazor
377,/m/05rj2,domestic.shufflingCards
378,/m/0316dw,domestic.typing
379,/m/0c2wf,domestic.typewriter
380,/m/01m2v,people.computerKeyboard
381,/m/081rb,domestic.writing
382,/m/07pp_mv,alert.alarm
383,/m/07cx4,people.telephone
384,/m/07pp8cl,people.telephoneBellRinging
385,/m/01hnzm,people.ringtone
386,/m/02c8p,people.telephoneDialingDtmf
387,/m/015jpf,domestic.dialTone
388,/m/01z47d,domestic.busySignal
389,/m/046dlr,people.alarmClock
390,/m/03kmc9,alert.siren
391,/m/0dgbq,alert.civilDefenseSiren
392,/m/030rvx,people.buzzer
393,/m/01y3hg,alert.smokeDetectorSmokeAlarm
394,/m/0c3f7m,alert.fireAlarm
395,/m/04fq5q,alert.foghorn
396,/m/0l156k,alert.whistle
397,/m/06hck5,alert.steamWhistle
398,/t/dd00077,yardcare.mechanisms
399,/m/02bm9n,construction.ratchetPawl
400,/m/01x3z,domestic.clock
401,/m/07qjznt,domestic.tick
402,/m/07qjznl,domestic.tickTock
403,/m/0l7xg,construction.gears
404,/m/05zc1,construction.pulleys
405,/m/0llzx,domestic.sewingMachine
406,/m/02x984l,construction.mechanicalFan
407,/m/025wky1,domestic.airConditioning
408,/m/024dl,domestic.cashRegister
409,/m/01m4t,domestic.printer
410,/m/0dv5r,people.camera
411,/m/07bjf,people.singleLensReflexCamera
412,/m/07k1x,construction.tools
413,/m/03l9g,construction.hammer
414,/m/03p19w,construction.jackhammer
415,/m/01b82r,construction.sawing
416,/m/02p01q,construction.filingRasp
417,/m/023vsd,construction.sanding
418,/m/0_ksk,construction.powerTool
419,/m/01d380,construction.drill
420,/m/014zdl,alert.explosion
421,/m/032s66,alert.gunshotGunfire
422,/m/04zjc,alert.machineGun
423,/m/02z32qm,alert.fusillade
424,/m/0_1c,alert.artilleryFire
425,/m/073cg4,alert.capGun
426,/m/0g6b5,alert.fireworks
427,/g/122z_qxw,alert.firecracker
428,/m/07qsvvw,alert.burstPop
429,/m/07pxg6y,alert.eruption
430,/m/07qqyl4,alert.boom
431,/m/083vt,construction.wood
